tissue_type,subtype,gene,pct_in,pct_out,log2fc,auc,present_in_census,composite
colorectal,Stem-like / TA-like tumor cells,SMOC2,0.1675,0.0444,2.837527275085449,0.5626534819602966,True,0.3584955369186401
colorectal,Stem-like / TA-like tumor cells,AURKA,0.20025,0.0532,2.6273484230041504,0.5743213295936584,True,0.3516019238567352
colorectal,Stem-like / TA-like tumor cells,MKI67,0.2555,0.0738,2.3389108180999756,0.5916669964790344,True,0.34356469091415404
colorectal,Stem-like / TA-like tumor cells,E2F1,0.1325,0.0296,2.7836220264434814,0.5518565773963928,True,0.3404274645614624
colorectal,Stem-like / TA-like tumor cells,CCNB1,0.2195,0.0622,2.4413721561431885,0.5795237421989441,True,0.3392162153339386
colorectal,Stem-like / TA-like tumor cells,MCM3,0.328,0.129,2.050553560256958,0.604399561882019,True,0.32837502341270447
colorectal,Stem-like / TA-like tumor cells,PCNA,0.382625,0.177,1.9818320274353027,0.6105204820632935,True,0.3277246062755585
colorectal,Stem-like / TA-like tumor cells,CHEK1,0.1955,0.0564,2.323152542114258,0.5705412030220032,True,0.31656823451042176
colorectal,Stem-like / TA-like tumor cells,FZD7,0.200875,0.0578,2.2639126777648926,0.5731502175331116,True,0.3135264537239075
colorectal,Stem-like / TA-like tumor cells,PROM1,0.27975,0.0886,1.873626947402954,0.5972264409065247,True,0.30337387130737303
colorectal,EMT-like / Mesenchymal tumor cells,TGFBI,0.4865,0.13,2.614251136779785,0.6843287348747253,True,0.4801881313800812
colorectal,EMT-like / Mesenchymal tumor cells,ITGB1,0.64525,0.4024,1.4666060209274292,0.6846609115600586,True,0.3429593373012543
colorectal,EMT-like / Mesenchymal tumor cells,SNAI1,0.12925,0.0356,2.4984374046325684,0.5473151803016663,True,0.30642591450691226
colorectal,EMT-like / Mesenchymal tumor cells,FN1,0.126,0.1522,2.1328487396240234,0.4895857572555542,True,0.21328489482402802
colorectal,EMT-like / Mesenchymal tumor cells,TWIST1,0.020375,0.0092,1.5545095205307007,0.5056033134460449,True,0.1621686117506027
colorectal,Enterocyte-like tumor cells,CEACAM5,0.712125,0.1314,3.498975992202759,0.8045595288276672,True,0.6597926469039918
colorectal,Enterocyte-like tumor cells,CLDN4,0.7725,0.3082,1.9503031969070435,0.763938844203949,True,0.4990413950538635
colorectal,Enterocyte-like tumor cells,CLDN7,0.724875,0.2962,1.6609904766082764,0.7343786358833313,True,0.43933696232795716
